,Company Name,Address,Phone,votes,ratings,latitude,longitude
38,South India Shopping Mall,"Survey No 194, 195, Ground Floor, Sarala Grand, Bannerghatta Main Road, Arakere, Bangalore - 560076, Opposite to HSBC",+(91)-080-26489990,3439Votes,3.8,12.8908367,77.5975071
39,Royal Meenakshi Mall,"No. E1/16, 1st Cross, Bannerghatta Road, Bangalore - 560076, Opposite Meenakshi Temple",+(91)-080-67080100,2991Votes,4.2,12.876198,77.59544
40,Grand Majestic Commercial C..,"No.12, 2nd Cross, 6th Main, Gandhi Nagar, Bangalore - 560009, Opposite Gubbi Rang Mandir, Near Sukh Sagar",+(91)-8880874000,2939Votes,3.7,12.977204,77.576348
41,Eva Mall,"No.60, Brigade Road, Bangalore - 560025, Next To Hm Towers",+(91)-9902622668,2321Votes,3.9,12.970991,77.607258
42,South INDIA Shopping Mall,"Survey No. 35, 35/1, 35/2, Subbarama Chetty Road, Nettakallappa Circle, Basavanagudi, Bangalore - 560004, Opposite Anand Sagar Restaurant",+(91)-80-22426666,1934Votes,3.6,12.9389798,77.5717467
43,Arya Hub Mall,"No.92, Itpl Main Road, Prasanth Extension, Whitefield, Bangalore - 560066",+(91)-9902078287,1608Votes,3.5,12.983362,77.752012
44,Klm Fashion Mall,"No. 515, 47th Cross, 5th Block, Tmc Layout, Jayanagar, Bangalore - 560041, Near Renuka Theatre",+(91)-80-43746551,1455Votes,3.8,12.91685,77.582067
45,South India Shopping Mall,"Sy No.57/1, Whitefield Road, Dodsworth Layout, Whitefield, Bangalore - 560066, Opposite Whitefield Busstop",+(91)-80-28452222,1418Votes,3.5,12.969741,77.7497526
46,Palace Mall,"36, Bharati Nagar, Bengaluru, Seppings Road, Shivaji Nagar, Bangalore - 560051",,1417Votes,3.8,12.986316,77.608131
47,Prestige Forum Mall,"Thigalarapalya, Hoodi, Bengaluru, Bangalore - 560067",,1376Votes,4.4,12.9892207,77.7279723
48,KLM Fashion Mall,"No 1676, 27th Main Road Hsr Layout, HSR Layout, Bangalore - 560102",+(91)-80-43746552,1153Votes,3.6,12.9083796,77.6515421
49,Westgate Value Mall,"1032, Dr Rajkumar Rd,, 4th M Block, Manjunath Nagar,, Rajajinagar 4th Block, Bangalore - 560010",+(91)-80-23144856,1120Votes,3.8,12.982549,77.559381
50,Tibet Mall,"No.47, 5th Block Industrial Layout, Koramangala, Bangalore - 560095, Opp Jyoti Nivas College",+(91)-80-41677429,1062Votes,3.7,12.93429,77.616034
51,Forum Mall,"Shop No. 008 Forum Mall, 21, Koramangala, Bengaluru, Hosur Road, Bangalore - 560029",+(91)-80-22067621,902Votes,4.6,12.9345341,77.6113399
52,Garuda Mall,"Yelahanka New Town, Bangalore - 560064, Opposite IDBI Bank",+(91)-9986693305,693Votes,4.0,13.097481,77.583984
53,Tvs Bike Showroom,"3, Sidharata Colony, Santhosapuram, 2nd Block, Btm Layout, Bengaluru, Hosur Road, Madiwala, Bangalore - 560034",+(91)-80-33724405,420Votes,3.5,12.9225362,77.6196756
54,Farico Family Mall,"No. 215, Arakere Gate, Bannerghatta Road, Bangalore - 560076, Next to Araker Gate Signal",+(91)-80-41109884,414Votes,3.8,12.8889666,77.5971899
55,Vaishnavi Sapphire Mall,"No. 9/36, Tumkur Road, Phase 1, Yeshwanthpur Industrial Suburb, Bangalore - 560022, Behind Metro Station",+(91)-80-29724422,320Votes,4.0,13.024716,77.548832
56,Coupon Shopping Mall,"No.505, MS Towers, Garvebhavi Palya, Hosur Road, Bommanahalli, Bangalore - 560068, Next To Htmt, Near Rns Motors",+(91)-9980667143,303Votes,3.8,12.898456,77.633659
57,Gopalan Promenade Mall,"No.9, 92, 80 Feet Road, 8 Block, Kathriguppe, Banashankari 3rd Stage, Bangalore - 560085",+(91)-080-49314931,159Votes,3.9,12.926537,77.550832
58,Coupon Mall,"No. 13 and 14 Kempegowda Commercial Arcade, Bangalore, Bengaluru, Kg Road, Kempegowda Road, Bangalore - 560009",+(91)-80-42815345,146Votes,3.7,12.974294,77.577925
59,Fish Spa In Gopalan Mall,"3, Swamy Vivekananda Road, Sadanandanagar, Benniganahalli, Bangalore - 560016",+(91)-9739677929,138Votes,3.6,12.993033,77.661751
60,Family Mall,"No 110 1st Stage, Sorahunse Village Madhuranagar Varthur, Uttarahalli Hobli, Bengaluru, Varthur, Bangalore - 560087",+(91)-8884510999,126Votes,4.0,12.9431043,77.7546561
61,Sri Sri Mall,"No.121,Abhiksh Complex,Ground Floor, Bull Temple Road, Basavanagudi, Bangalore - 560004, Near Halli Thindi Hotel",+(91)-80-26677087,104Votes,4.4,12.9441155,77.5676959
62,Happy Home Shopping Mall,"2nd Cross, 1st Main, Durga Parameshwari Layout, Kenchanahalli, Bangalore - 560098",+(91)-80-28602464,104Votes,4.0,12.9190278,77.5137538
63,Ramraj Cotton Magestic Mall,"Shop No.5, 6 Ground Floor Grand Majestic Mall No.12, Bengaluru, 2nd Cross Road, 2nd Cross Road6thmain Road, Gandhi Nagar, Bangalore - 560009",+(91)-9585554147,101Votes,3.6,12.977275,77.5762702
64,Total Mall,"Varthur Road, Challaghatta, Bangalore - 560095, Near Hindustan Airport",,91Votes,3.8,12.921604,77.620484
65,Adhar Shopping Mall,"24 10'11.6n 72 26'04.4e, 912, 18th Main Road, Bengaluru, Ejipura, Bangalore - 560047",+(91)-9104564753,82Votes,4.2,12.956364,77.61675
66,Kdm Shopping Mall,"Kammavari Pete, Hoskote, Bangalore - 562114",+(91)-80-27931222,78Votes,3.4,13.0733428,77.7878792
67,My Shopping Mall,"33, 6th Cross Road, Hmt Layout, Hebbal, Bengaluru, Dinnur, Bangalore - 560032",+(91)-7386174707,76Votes,3.8,13.028257,77.594303
68,Mantri Jupiter Mall,"Khb Games Village, Koramangala, Bengaluru, National Games Housing Complex, Bangalore - 560047",+(91)-9035267246,73Votes,4.1,12.945369,77.619991
69,Pcr Garden Mall,"Doddathoguru Cross Junction, Electronics City Phase 1, Bengaluru, Bangalore - 560100",+(91)-7022044477,70Votes,3.9,12.8434142,77.6444294
70,SRT Mall,"No.151/154, Hosur Main Road, Anekal Taluk, Chandapura, Bangalore - 560081, Near Karur Vysya Bank",+(91)-80-27834556,57Votes,3.5,12.801873,77.705563
71,Global Mall,"M.G., 184, M.G. Railway Colony, Sevashrama, Bengaluru, Old Mysuru Road, Bangalore - 560023",,47Votes,4.1,12.9814809,77.5633961
72,Compu Mall,"No 1/1 1st Floor, 14th Main Road, Vijayanagar, Bangalore - 560040, Next Kodandarama Temple,Behind Metro",+(91)-080-23106178,41Votes,4.2,12.9703502,77.5375455
73,Metro Mall,"Chamrajpet, Bangalore - 562135",,28Votes,4.1,13.24535,77.795884
74,Pro Fx Bengaluru Pheonix Ma..,"G 15, Phoenix Market City, Whitefield Road, Mahadevapura, Bangalore - 560048",+(91)-8067265991,25Votes,4.3,12.99771,77.696408
75,Fab Mall India Pvt Ltd,"New #92/1, Mosque Road, Frazer Town, Bangalore - 560005",+(91)-080-25804997,14Votes,3.4,12.997052,77.613469
76,Yelahanka Central,"Garuda Mall, 3rd Stage, Yelahanka, Bangalore - 560064, Opposite IDBI Bank",+(91)-80-22365147,12Votes,4.2,13.097481,77.583984
77,Shan Fashion Mall,"Geleyara Balaga Layout, Jalahalli West, Hessargatta Main Road, Bangalore - 560090",+(91)-9740008887,11Votes,4.1,13.0702941,77.5039174
78,Silicon Foot Mall,"Shop no. 5, Dr. Vishnuvardhan road, Uttarahalli, Bangalore - 560061, Next to Shanthi sagar",+(91)-80-26395786,11Votes,4.0,12.908529,77.548271
79,Princess Mall,"No.32, Hennur Main Road, Lingarajapuram, Bangalore - 560084, Near Axis Bank ATM",+(91)-080-25492857,10Votes,3.7,13.01128037,77.6255483
80,World Market,"17th Km, Old Madras Road, White Filed, Avalahali, Bangalore - 560026, Near Ravindu Toyota",+(91)-80-42699000,9Votes,3.8,12.9759797,77.547214
81,Sjr Kalpana Mall,"Balepete, Chickpet, Bengaluru, Kempegowda Road, Bangalore - 560009",+(91)-80-40405599,9Votes,3.3,12.9741082,77.5771291
82,Kabab Mall,"Bengaluru, Bangalore - 560082",+(91)-9901621058,7Votes,4.7,12.7927393,77.5053048
83,Amit World Wide,"Viveka Nagar, Bengaluru, Vivek Nagar, Bangalore - 560047",+(91)-9945154276,4Votes,4.0,12.9529217,77.6239121
84,Bubble Gummers Mantri Mall,"Unit No.S62, 2nd Floor, Mantri Square, No.1, Bengaluru, Sampige Road, Malleswaram, Bangalore - 560003",+(91)-8150830892,3Votes,4.3,12.991597,77.571222
85,Neo Mall,"1st Phase, Electronic City, Bangalore - 560100",,3Votes,3.3,12.82356,77.659906
86,Jaivika Mall,"Sampangi Rama Nagara, Bengaluru, Kasturba Road, Bangalore - 560001, Behind High Court Of Karnataka Ambedkar Veedhi",+(91)-9008373985,2Votes,2.5,12.9764035,77.5929534
87,D MALL,Bangalore - 560001,+(91)-7204828579,1Votes,5.0,12.966793871553,77.598405772589
88,Ht Palace,"Sarbandapalya, Banashankari Temple Ward, Bengaluru, Bangalore - 560078",+(91)-9606793253,1Votes,5.0,12.9157952,77.5702525
89,VR Mall,"Ugf -15,Upper Ground Floor,Vr Mall,Plot No 11 B,Survey No 40/9,Dyavasandra Villa, Bengaluru, Bangalore - 560048",+(91)-80-42565735,1Votes,4.0,12.9961532487,77.6953091
90,Total Hyper Mall,"BMP Commercial Plaza, Madiwala, Bangalore - 560068, Opposite Madivala Police",,1Votes,3.0,12.921029,77.613686
91,Ruthus Stop & Shop,"Horamavu Flyover, Bengaluru, Horamavu, Bangalore - 560043, Near Nellre Mess",,1Votes,3.0,13.0195064,77.6563875
92,Loky- Shoping Mall,"Sun City Layout, Sankranthi Layout, Arekere, Bengaluru, 5th Main Road, Bangalore - 560076",+(91)-9590455999,1Votes,3.0,12.8849198,77.5875615
93,Saikam Skyee,"54/6, Devarabisanahalli, Bengaluru, Marathahalli Sarjapur Outer Ring Road, Bellandur, Bangalore - 560103",+(91)-9731599993,1Votes,3.0,12.9321908,77.6868321
94,Gt World Mall,"No.92, Vijayanagar, Bangalore - 560040, Next to Prasanna Theater",+(91)-080-46329003,35276Votes,4.3,12.973289,77.551365
95,Gopalan Arcade Mall,"No.447/1812, 1st Block, Pantharapalya, Mysore Road, Rajarajeshwari Nagar, Bangalore - 560098",+(91)-080-28602945,33839Votes,4.0,12.935603,77.517814
96,The Forum Neighbourhood Mal..,"No.62, Whitefield Main Road, Bangalore - 560066, Near Varthur Lake",+(91)-080-25043800,32837Votes,4.2,12.959765,77.747283
97,Gopalan Signature Mall,"No.6, Old Madras Road, Nagavarapalya, Bangalore - 560093, Opposite  Rmz",+(91)-80-25246246,32479Votes,4.0,12.993105,77.661557
98,Lido Shopping Mall,"No.1/1, Ista Compound, Vivekananda Road, Ulsoor, Bangalore - 560008, Near Trinity Circle",+(91)-080-22086573,28959Votes,4.0,12.97352,77.620277
99,Eta Mall,"No. 1, Hosakere Road, Binnypete, Bangalore - 560026, Opposite Balekayi Mandi",+(91)-080-67410009,28796Votes,4.0,12.965487,77.562072
100,Bangalore Central Mall,"No.45/1/45/2, 45th Cross, Jp Nagar 2nd Phase, Bangalore - 560078, Near Ragigudda Temple",18002107777,26379Votes,4.2,12.916358,77.592643
101,Inorbit Mall,"Plot No. 75, Epip Industrial Park, Whitefield, Bangalore - 560066, Next To Sathya Sai Hospital",+(91)-080-67280000,25790Votes,4.0,12.979204,77.728195
102,Orion East,"No.10/34, Banaswadi Main Road, Maruthi Sevanagar, Bangalore - 560033",+(91)-080-23094444,25313Votes,4.2,13.001731,77.632705
103,Kempfort,"No.97, Old Airport Road, Bangalore - 560017",+(91)-9845166666,23467Votes,3.9,12.958664,77.65687
104,Forum Shantiniketan,"Whitefield Main Road, Bangalore - 560067, Opposite Manipal Hospital",+(91)-080-25018225,23260Votes,4.4,12.989372,77.728227
105,Gopalan Legacy Mall,"No. 148, Mysore Road, Bangalore - 560026, Near Sirsi Circle",+(91)-80-26752122,22559Votes,3.9,12.958267,77.553552
106,Brookefield Mall,"ITPL Main Road, Brookefield, Bangalore - 560037",+(91)-080-41188997,21515Votes,3.9,12.966054,77.718134
107,One Mg Mall,"No.1/2, Swami Vivekananda Road, M G Road, Bangalore - 560001, Opposite Vivanta By Taj",+(91)-80-22086565,20344Votes,4.0,12.97352,77.620277
108,Sri Garuda Swagath Mall,"Tilak Nagar, Jayanagar 4th Block, Bangalore - 560011, Opposite Police Station",+(91)-080-41309058,16519Votes,3.9,12.929108,77.591354
109,Ascendas Park Square Mall,"International Tech Park, Whitefield, Bangalore - 560066",+(91)-080-41880888,16329Votes,4.1,12.98729,77.736413
110,Rockline Mall,"No 8, Jalahalli Cross, T Dasarahalli, Bangalore - 560057, Chokkasandra",+(91)-9113939690,16159Votes,3.8,13.040947,77.518342
111,Gopalan Grand Mall,"Gopalan Grand Mall, Nagavar Palya, Old Madras Road, Bangalore - 560016, Above More Supermarket",+(91)-080-25242484,16006Votes,4.1,12.993416,77.663828
112,Presto Kemp Fort Mall,"No 97, 1st Floor, Kemp Fort Mall, Ramagiri, Murugesh Palya, Old Airport Road, Bangalore - 560017, Near Kemp Fort Shiv Temple",+(91)-8217690383,15235Votes,3.8,12.9587516,77.6568341
113,RMZ Galleria Mall,"Ambedkar Colony, Yelahanka, Bangalore - 560064, Opposite Yelahanka Police Station",+(91)-080-68137475,15176Votes,4.4,13.093264,77.59521
114,Sigma Central,"No.15, 16 &amp; 17, Cunningham Road, Bangalore - 560052, Near Westminister",,12576Votes,3.7,12.98803,77.594578
115,Arena Mall,"Out Ring Road, Doddanekundi Extension, Bangalore - 560037",+(91)-080-33569555,10879Votes,4.1,12.9797323,77.6937706
116,Market Square Mall,"Market Square Mall, Madiwala, Bangalore - 560068, Opposite Police Station",+(91)-9900098971,10538Votes,4.0,12.921655,77.620458
117,Esteem Mall,"No.127/128, Bellary Road, Hebbal, Bangalore - 560024, Near Hebbal Fly Over",,9908Votes,3.6,13.049294,77.592998
118,Market Square Mall,"Sarjapur Main Rd, Harlur, Bengaluru, Ambalipura, Bangalore - 560103",+(91)-9741511885,8953Votes,4.0,12.91692,77.671501
119,Golden Height Mall,"Dr Rajkumar Road, 4m Block, Rajajinagar, Bangalore - 560010",,6960Votes,3.9,12.982868,77.55981
120,Virginia Mall,"Whitefield, Bangalore - 560066, Near Varthur Lake &amp; Next To Columbia Asia Hospital",+(91)-080-67424950,6681Votes,3.6,12.957276,77.745286
121,KLM Fashion Mall,"No 518, Varthur Road Marathahalli Village Marathahalli, Marathahalli, Bangalore - 560037, Near to Marathahalli Village",+(91)-80-43746553,4173Votes,3.7,12.9567993,77.7007577
122,South India Shopping Mall,"Survey No 194, 195, Ground Floor, Sarala Grand, Bannerghatta Main Road, Arakere, Bangalore - 560076, Opposite to HSBC",+(91)-080-26489990,3439Votes,3.8,12.8908367,77.5975071
123,Royal Meenakshi Mall,"No. E1/16, 1st Cross, Bannerghatta Road, Bangalore - 560076, Opposite Meenakshi Temple",+(91)-080-67080100,2991Votes,4.2,12.876198,77.59544
124,Grand Majestic Commercial C..,"No.12, 2nd Cross, 6th Main, Gandhi Nagar, Bangalore - 560009, Opposite Gubbi Rang Mandir, Near Sukh Sagar",+(91)-8880874000,2939Votes,3.7,12.977204,77.576348
125,Eva Mall,"No.60, Brigade Road, Bangalore - 560025, Next To Hm Towers",+(91)-9902622668,2321Votes,3.9,12.970991,77.607258
126,South INDIA Shopping Mall,"Survey No. 35, 35/1, 35/2, Subbarama Chetty Road, Nettakallappa Circle, Basavanagudi, Bangalore - 560004, Opposite Anand Sagar Restaurant",+(91)-80-22426666,1934Votes,3.6,12.9389798,77.5717467
127,Arya Hub Mall,"No.92, Itpl Main Road, Prasanth Extension, Whitefield, Bangalore - 560066",+(91)-9902078287,1608Votes,3.5,12.983362,77.752012
128,Klm Fashion Mall,"No. 515, 47th Cross, 5th Block, Tmc Layout, Jayanagar, Bangalore - 560041, Near Renuka Theatre",+(91)-80-43746551,1455Votes,3.8,12.91685,77.582067
129,South India Shopping Mall,"Sy No.57/1, Whitefield Road, Dodsworth Layout, Whitefield, Bangalore - 560066, Opposite Whitefield Busstop",+(91)-80-28452222,1418Votes,3.5,12.969741,77.7497526
130,Palace Mall,"36, Bharati Nagar, Bengaluru, Seppings Road, Shivaji Nagar, Bangalore - 560051",,1417Votes,3.8,12.986316,77.608131
131,Prestige Forum Mall,"Thigalarapalya, Hoodi, Bengaluru, Bangalore - 560067",,1376Votes,4.4,12.9892207,77.7279723
132,KLM Fashion Mall,"No 1676, 27th Main Road Hsr Layout, HSR Layout, Bangalore - 560102",+(91)-80-43746552,1153Votes,3.6,12.9083796,77.6515421
133,Westgate Value Mall,"1032, Dr Rajkumar Rd,, 4th M Block, Manjunath Nagar,, Rajajinagar 4th Block, Bangalore - 560010",+(91)-80-23144856,1120Votes,3.8,12.982549,77.559381
134,Tibet Mall,"No.47, 5th Block Industrial Layout, Koramangala, Bangalore - 560095, Opp Jyoti Nivas College",+(91)-80-41677429,1062Votes,3.7,12.93429,77.616034
135,Forum Mall,"Shop No. 008 Forum Mall, 21, Koramangala, Bengaluru, Hosur Road, Bangalore - 560029",+(91)-80-22067621,902Votes,4.6,12.9345341,77.6113399
136,Garuda Mall,"Yelahanka New Town, Bangalore - 560064, Opposite IDBI Bank",+(91)-9986693305,693Votes,4.0,13.097481,77.583984
137,Tvs Bike Showroom,"3, Sidharata Colony, Santhosapuram, 2nd Block, Btm Layout, Bengaluru, Hosur Road, Madiwala, Bangalore - 560034",+(91)-80-33724405,420Votes,3.5,12.9225362,77.6196756
138,Farico Family Mall,"No. 215, Arakere Gate, Bannerghatta Road, Bangalore - 560076, Next to Araker Gate Signal",+(91)-80-41109884,414Votes,3.8,12.8889666,77.5971899
139,Vaishnavi Sapphire Mall,"No. 9/36, Tumkur Road, Phase 1, Yeshwanthpur Industrial Suburb, Bangalore - 560022, Behind Metro Station",+(91)-80-29724422,320Votes,4.0,13.024716,77.548832
140,Coupon Shopping Mall,"No.505, MS Towers, Garvebhavi Palya, Hosur Road, Bommanahalli, Bangalore - 560068, Next To Htmt, Near Rns Motors",+(91)-9980667143,303Votes,3.8,12.898456,77.633659
141,Gopalan Promenade Mall,"No.9, 92, 80 Feet Road, 8 Block, Kathriguppe, Banashankari 3rd Stage, Bangalore - 560085",+(91)-080-49314931,159Votes,3.9,12.926537,77.550832
142,Coupon Mall,"No. 13 and 14 Kempegowda Commercial Arcade, Bangalore, Bengaluru, Kg Road, Kempegowda Road, Bangalore - 560009",+(91)-80-42815345,146Votes,3.7,12.974294,77.577925
143,Fish Spa In Gopalan Mall,"3, Swamy Vivekananda Road, Sadanandanagar, Benniganahalli, Bangalore - 560016",+(91)-9739677929,138Votes,3.6,12.993033,77.661751
144,Family Mall,"No 110 1st Stage, Sorahunse Village Madhuranagar Varthur, Uttarahalli Hobli, Bengaluru, Varthur, Bangalore - 560087",+(91)-8884510999,126Votes,4.0,12.9431043,77.7546561
145,Sri Sri Mall,"No.121,Abhiksh Complex,Ground Floor, Bull Temple Road, Basavanagudi, Bangalore - 560004, Near Halli Thindi Hotel",+(91)-80-26677087,104Votes,4.4,12.9441155,77.5676959
146,Happy Home Shopping Mall,"2nd Cross, 1st Main, Durga Parameshwari Layout, Kenchanahalli, Bangalore - 560098",+(91)-80-28602464,104Votes,4.0,12.9190278,77.5137538
147,Ramraj Cotton Magestic Mall,"Shop No.5, 6 Ground Floor Grand Majestic Mall No.12, Bengaluru, 2nd Cross Road, 2nd Cross Road6thmain Road, Gandhi Nagar, Bangalore - 560009",+(91)-9585554147,101Votes,3.6,12.977275,77.5762702
148,Total Mall,"Varthur Road, Challaghatta, Bangalore - 560095, Near Hindustan Airport",,91Votes,3.8,12.921604,77.620484
149,Adhar Shopping Mall,"24 10'11.6n 72 26'04.4e, 912, 18th Main Road, Bengaluru, Ejipura, Bangalore - 560047",+(91)-9104564753,82Votes,4.2,12.956364,77.61675
150,Kdm Shopping Mall,"Kammavari Pete, Hoskote, Bangalore - 562114",+(91)-80-27931222,78Votes,3.4,13.0733428,77.7878792
151,My Shopping Mall,"33, 6th Cross Road, Hmt Layout, Hebbal, Bengaluru, Dinnur, Bangalore - 560032",+(91)-7386174707,76Votes,3.8,13.028257,77.594303
152,Mantri Jupiter Mall,"Khb Games Village, Koramangala, Bengaluru, National Games Housing Complex, Bangalore - 560047",+(91)-9035267246,73Votes,4.1,12.945369,77.619991
153,Pcr Garden Mall,"Doddathoguru Cross Junction, Electronics City Phase 1, Bengaluru, Bangalore - 560100",+(91)-7022044477,70Votes,3.9,12.8434142,77.6444294
154,SRT Mall,"No.151/154, Hosur Main Road, Anekal Taluk, Chandapura, Bangalore - 560081, Near Karur Vysya Bank",+(91)-80-27834556,57Votes,3.5,12.801873,77.705563
155,Global Mall,"M.G., 184, M.G. Railway Colony, Sevashrama, Bengaluru, Old Mysuru Road, Bangalore - 560023",,47Votes,4.1,12.9814809,77.5633961
156,Compu Mall,"No 1/1 1st Floor, 14th Main Road, Vijayanagar, Bangalore - 560040, Next Kodandarama Temple,Behind Metro",+(91)-080-23106178,41Votes,4.2,12.9703502,77.5375455
